"","District","Code","State","Trump2016","Clinton2016","Obama2012","Romney2012","Obama2008","McCain2008","raw16PVI","raw12PVI","raw08PVI","raw16PVIuse","raw12PVIuse","raw08PVIuse","Trump2016vote","Clinton2016vote","PVI2016","dem5.cd.turnout","dem4.cd.turnout","dem3.cd.turnout","dem2.cd.turnout","dem1.cd.turnout","rep5.cd.turnout","rep4.cd.turnout","rep3.cd.turnout","rep2.cd.turnout","rep1.cd.turnout","demavg.cd.turnout","repavg.cd.turnout","ClintonPredictedGainAvg5","ClintonPredictedLossAvg5","TrumpPredictedGainAvg5","TrumpPredictedLossAvg5","ClintonGainVLossAvg5","TrumpGainVLossAvg5","RelativeClintonGainVLossAvg5","ClintonPredictedGainAvg3","ClintonPredictedLossAvg3","TrumpPredictedGainAvg3","TrumpPredictedLossAvg3","ClintonGainVLossAvg3","TrumpGainVLossAvg3","RelativeClintonGainVLossAvg3","ClintonPredictedGainAvg1","ClintonPredictedLossAvg1","TrumpPredictedGainAvg1","TrumpPredictedLossAvg1","ClintonGainVLossAvg1","TrumpGainVLossAvg1","RelativeClintonGainVLossAvg1","ClintonPredictedGainAvgAvg","ClintonPredictedLossAvgAvg","TrumpPredictedGainAvgAvg","TrumpPredictedLossAvgAvg","ClintonGainVLossAvgAvg","TrumpGainVLossAvgAvg","RelativeClintonGainVLossAvgAvg","ClintonPredictedGainExt5","ClintonPredictedLossExt5","TrumpPredictedGainExt5","TrumpPredictedLossExt5","ClintonGainVLossExt5","TrumpGainVLossExt5","RelativeClintonGainVLossExt5","ClintonPredictedGainExt3","ClintonPredictedLossExt3","TrumpPredictedGainExt3","TrumpPredictedLossExt3","ClintonGainVLossExt3","TrumpGainVLossExt3","RelativeClintonGainVLossExt3","ClintonPredictedGainExt1","ClintonPredictedLossExt1","TrumpPredictedGainExt1","TrumpPredictedLossExt1","ClintonGainVLossExt1","TrumpGainVLossExt1","RelativeClintonGainVLossExt1","ClintonPredictedGainExtAvg","ClintonPredictedLossExtAvg","TrumpPredictedGainExtAvg","TrumpPredictedLossExtAvg","ClintonGainVLossExtAvg","TrumpGainVLossExtAvg","RelativeClintonGainVLossExtAvg","ActualClintonLostVotes"
"94","Florida 6th","FL-06","Florida",56.8559046244905,39.8766205727165,47.1336245471634,52.8663754528366,50.6826903958458,49.3173096041542,-9.9,-4.8,-3,9.9,4.8,3,215941,151453,9.9,0.625552796945179,0.626826513002434,0.62809847223783,0.629368659491702,0.630637059698982,0.638209101388681,0.636951734455711,0.635692492105095,0.634431388822118,0.633168439190091,0.628096700275225,0.635690631192339,16684,-2013,3163,-28833,14671,-25670,40341,9635,-1136,2000,-17955,8499,-15955,24454,2380,-275,815,-7190,2105,-6375,8480,9569,-1138,1997,-18005,8431,-16008,24439,31652,-15986,23448,-59098,15666,-35650,51316,18819,-8948,15105,-36794,9871,-21689,31560,4759,-2141,6256,-14610,2618,-8354,10972,18485,-8992,14995,-36868,9493,-21873,31366,64488
"95","Florida 7th","FL-07","Florida",44.1035722742617,51.3946022148431,50.021835811703,49.978164188297,51.5536634072254,48.4463365927746,2.7,-1.9,-2.1,-2.7,1.9,2.1,160178,186658,-2.7,0.658858876851694,0.653041915598386,0.647178881940606,0.641271196755647,0.635320332526608,0.598797042620756,0.604973324508503,0.611116275235437,0.61722414023263,0.62329520808486,0.647134240734588,0.611081198136437,10086,-11791,13044,-12252,-1705,792,-2497,6021,-6862,7985,-7412,-841,573,-1414,1536,-1712,3151,-2881,-176,270,-446,5955,-6853,7992,-7442,-898,550,-1448,27602,-28141,29080,-36180,-539,-7100,6561,17007,-16206,18097,-21948,801,-3851,4652,4446,-3995,7251,-8472,451,-1221,1672,16620,-16247,18022,-21998,373,-3976,4349,-26480
"96","Florida 8th","FL-08","Florida",58.383074859857,37.6730171605156,42.6316512002415,57.3683487997585,44.4072229091527,55.5927770908473,-11.9,-9.3,-9.3,11.9,9.3,9.3,234648,151412,11.9,0.620145200391813,0.622591195346935,0.625030963309391,0.627464396680299,0.629891389101663,0.644312287845681,0.641926103234308,0.639532866428304,0.637132676028171,0.634725631961956,0.62502462896602,0.639525913099684,18145,-709,1182,-33257,17436,-32075,49511,10423,-399,751,-20802,10024,-20051,30075,2562,-96,308,-8370,2466,-8062,10528,10358,-399,750,-20854,9959,-20104,30063,33240,-14800,23015,-65833,18440,-42818,61258,19649,-8246,14906,-41150,11403,-26244,37647,4942,-1963,6205,-16413,2979,-10208,13187,19315,-8289,14790,-41229,11026,-26439,37465,83236
"97","Florida 9th","FL-09","Florida",41.8904440019073,54.7970717751662,56.1706747299294,43.8293252700706,55.1148651698247,44.8851348301753,5.6,4.2,1.4,-5.6,-4.2,-1.4,149352,195368,-5.6,0.666321121118156,0.658953001923144,0.651507277016202,0.643986820958776,0.636394648260341,0.589521000163707,0.59747284592264,0.605373764945211,0.613219996017322,0.621007888776471,0.651432573855324,0.60531909916507,8251,-14391,14704,-9254,-6140,5450,-11590,4962,-8433,8933,-5560,-3471,3373,-6844,1275,-2119,3499,-2146,-844,1353,-2197,4903,-8414,8944,-5584,-3511,3360,-6871,26378,-31312,29892,-31915,-4934,-2023,-2911,16384,-18148,18450,-19242,-1764,-792,-972,4316,-4504,7336,-7378,-188,-42,-146,15992,-18182,18385,-19285,-2190,-900,-1290,-46016
"125","Georgia 10th","GA-10","Georgia",61.2651671200008,35.7666318599182,36.3027324609073,62.4586478760142,39.1012770889823,60.8987229110177,-14.3,-15.2,-14.6,14.3,15.2,14.6,193030,112691,14.3,0.613616597580116,0.617484047729627,0.621336675586347,0.625174054714837,0.628995766104598,0.651574520749869,0.647855180442616,0.644117822495045,0.640362818345411,0.63659054768238,0.621321428343105,0.644100177943064,14847,665,-1190,-29205,15512,-30395,45907,8473,372,-760,-18365,8845,-19125,27970,2070,89,-313,-7430,2159,-7743,9902,8426,373,-759,-18404,8799,-19163,27962,26202,-9934,16571,-55704,16268,-39133,55401,15381,-5504,10801,-34985,9877,-24184,34061,3844,-1303,4524,-14028,2541,-9504,12045,15133,-5534,10709,-35047,9599,-24338,33937,80339
"126","Georgia 11th","GA-11","Georgia",60.3167331583818,35.3312197563824,31.4533601912278,66.9430023767771,35.0260176906657,64.9739823093343,-14.2,-20,-18.7,14.2,20,18.7,198813,116457,14.2,0.613889458058403,0.617697373192738,0.621490888977154,0.625269598412125,0.629033101489031,0.651273301848595,0.647609028232444,0.643927302642159,0.640228480341629,0.636512924350662,0.62147608402589,0.643910207483098,15285,636,-1134,-30002,15921,-31136,47057,8725,355,-725,-18862,9080,-19587,28667,2132,85,-298,-7630,2217,-7928,10145,8677,356,-723,-18903,9033,-19626,28659,27013,-10313,17167,-57308,16700,-40141,56841,15863,-5715,11187,-35985,10148,-24798,34946,3965,-1353,4685,-14425,2612,-9740,12352,15606,-5747,11092,-36049,9859,-24957,34816,82356
"127","Georgia 12th","GA-12","Georgia",56.8617049097036,40.6976396661611,43.6423297827042,55.4220500553506,44.1217851739788,55.8782148260212,-9.4,-7.9,-9.6,9.4,7.9,9.6,152204,108937,9.4,0.626899871362232,0.627882338716409,0.628863750587081,0.629844100021122,0.630823380099197,0.636676220907807,0.635703500359047,0.634729669656876,0.633754735514545,0.632778704680039,0.628862688157208,0.634728566223663,11740,-1679,2602,-20005,10061,-17403,27464,6789,-949,1643,-12444,5840,-10801,16641,1679,-230,668,-4977,1449,-4309,5758,6742,-950,1640,-12479,5792,-10839,16631,22484,-11707,16933,-41389,10777,-24456,35233,13387,-6561,10894,-25742,6826,-14848,21674,3390,-1571,4506,-10211,1819,-5705,7524,13147,-6592,10816,-25795,6555,-14979,21534,43267
"128","Georgia 13th","GA-13","Georgia",26.6091927313287,71.0189285548304,69.2414337761598,29.9730724974121,67.4942499231634,32.5057500768366,21.6,17.8,13.8,-21.6,-17.8,-13.8,80157,213936,-21.6,0.705941868919857,0.690648698282457,0.674926418521251,0.658799837477282,0.642297235462677,0.537364930229962,0.555357270637529,0.573205629458388,0.590865351016595,0.608293699085129,0.674522811732705,0.573017376085521,-3479,-26881,16437,2331,-30360,18768,-49128,-2178,-16337,9562,1347,-18515,10909,-29424,-582,-4265,3593,500,-4847,4093,-8940,-2138,-16222,9589,1353,-18360,10942,-29302,15257,-44371,25380,-11012,-29114,14368,-43482,9895,-26606,14956,-6408,-16711,8548,-25259,2716,-6853,5695,-2367,-4137,3328,-7465,9589,-26552,14942,-6415,-16963,8527,-25490,-133779
"129","Georgia 14th","GA-14","Georgia",74.9785048774387,22.086433841921,25.3139403997761,73.2112881925009,28.156371796386,71.843628203614,-28.4,-26.3,-25.5,28.4,26.3,25.5,191849,56513,28.4,0.574502820955575,0.586986853711087,0.599360038490937,0.611607811492793,0.623716228525308,0.692750502928714,0.68172997426337,0.670502171207526,0.659076357251486,0.647462654608851,0.59923475063514,0.670304332051989,11800,4204,-12515,-38704,16004,-51219,67223,6477,2265,-8275,-25083,8742,-33358,42100,1525,523,-3528,-10482,2048,-14010,16058,6464,2277,-8224,-25077,8741,-33301,42042,17882,-1473,4087,-63476,16409,-59389,75798,10069,-789,2763,-40952,9280,-38189,47469,2422,-181,1200,-16929,2241,-15729,17970,9951,-795,2728,-40970,9156,-38242,47398,135336
"116","Georgia 1st","GA-01","Georgia",56.3850308641975,40.8765135327635,43.0328485755892,55.9143730967244,44.6897917051827,55.3102082948173,-9.1,-8.5,-9,9.1,8.5,9,151996,110190,9.1,0.627707173410799,0.628515249630323,0.629322607648296,0.630129243597183,0.630935153624999,0.635755155712541,0.63495368122453,0.634151458033425,0.633348489896661,0.632544780587579,0.62932188558232,0.634150713090947,11718,-1838,2822,-19787,9880,-16965,26845,6782,-1040,1781,-12299,5742,-10518,16260,1679,-252,724,-4916,1427,-4192,5619,6734,-1041,1778,-12335,5693,-10557,16250,22571,-11969,17155,-41172,10602,-24017,34619,13451,-6712,11027,-25592,6739,-14565,21304,3409,-1609,4557,-10144,1800,-5587,7387,13208,-6744,10950,-25645,6464,-14695,21159,41806
